estado,municipio,base,escenario,estado_norm,municipio_norm,cambio_detectable,municipio_inegi_norm,municipio_inegi,cve_ent,cve_mun,cvegeo,existe_en_inegi
HIDALGO,TEPEJI DEL RIO DE OCAMPO,BANAVIM,ALTA,HIDALGO,TEPEJI DEL RIO DE OCAMPO,False,TEPEJI DEL RIO DE OCAMPO,Tepeji del Río de Ocampo,13,063,13063,True
HIDALGO,TIZAYUCA,BANAVIM,ALTA,HIDALGO,TIZAYUCA,False,TIZAYUCA,Tizayuca,13,069,13069,True
HIDALGO,TOLCAYUCA,BANAVIM,ALTA,HIDALGO,TOLCAYUCA,False,TOLCAYUCA,Tolcayuca,13,075,13075,True
HIDALGO,TULA DE ALLENDE,BANAVIM,ALTA,HIDALGO,TULA DE ALLENDE,False,TULA DE ALLENDE,Tula de Allende,13,076,13076,True
HIDALGO,TULANCINGO DE BRAVO,BANAVIM,ALTA,HIDALGO,TULANCINGO DE BRAVO,False,TULANCINGO DE BRAVO,Tulancingo de Bravo,13,077,13077,True
HIDALGO,ZACUALTIPAN DE ANGELES,BANAVIM,ALTA,HIDALGO,ZACUALTIPAN DE ANGELES,False,ZACUALTIPAN DE ANGELES,Zacualtipán de Ángeles,13,081,13081,True
HIDALGO,ZIMAPAN,BANAVIM,ALTA,HIDALGO,ZIMAPAN,False,ZIMAPAN,Zimapán,13,084,13084,True
JALISCO,AMECA,BANAVIM,ALTA,JALISCO,AMECA,False,AMECA,Ameca,14,006,14006,True
JALISCO,ARANDAS,BANAVIM,ALTA,JALISCO,ARANDAS,False,ARANDAS,Arandas,14,008,14008,True
JALISCO,ATOTONILCO EL ALTO,BANAVIM,ALTA,JALISCO,ATOTONILCO EL ALTO,False,ATOTONILCO EL ALTO,Atotonilco el Alto,14,013,14013,True
JALISCO,AUTLAN DE NAVARRO,BANAVIM,ALTA,JALISCO,AUTLAN DE NAVARRO,False,AUTLAN DE NAVARRO,Autlán de Navarro,14,015,14015,True
JALISCO,COLOTLAN,BANAVIM,ALTA,JALISCO,COLOTLAN,False,COLOTLAN,Colotlán,14,025,14025,True
JALISCO,CUQUIO,BANAVIM,ALTA,JALISCO,CUQUIO,False,CUQUIO,Cuquío,14,029,14029,True
JALISCO,EL SALTO,BANAVIM,ALTA,JALISCO,EL SALTO,False,EL SALTO,El Salto,14,070,14070,True
JALISCO,ENCARNACION DE DIAZ,BANAVIM,ALTA,JALISCO,ENCARNACION DE DIAZ,False,ENCARNACION DE DIAZ,Encarnación de Díaz,14,035,14035,True
JALISCO,ETZATLAN,BANAVIM,ALTA,JALISCO,ETZATLAN,False,ETZATLAN,Etzatlán,14,036,14036,True
JALISCO,GUACHINANGO,BANAVIM,ALTA,JALISCO,GUACHINANGO,False,GUACHINANGO,Guachinango,14,038,14038,True
JALISCO,GUADALAJARA,BANAVIM,ALTA,JALISCO,GUADALAJARA,False,GUADALAJARA,Guadalajara,14,039,14039,True
JALISCO,IXTLAHUACAN DE LOS MEMBRILLOS,BANAVIM,ALTA,JALISCO,IXTLAHUACAN DE LOS MEMBRILLOS,False,IXTLAHUACAN DE LOS MEMBRILLOS,Ixtlahuacán de los Membrillos,14,044,14044,True
JALISCO,IXTLAHUACAN DEL RIO,BANAVIM,ALTA,JALISCO,IXTLAHUACAN DEL RIO,False,IXTLAHUACAN DEL RIO,Ixtlahuacán del Río,14,045,14045,True
JALISCO,JUANACATLAN,BANAVIM,ALTA,JALISCO,JUANACATLAN,False,JUANACATLAN,Juanacatlán,14,051,14051,True
JALISCO,LAGOS DE MORENO,BANAVIM,ALTA,JALISCO,LAGOS DE MORENO,False,LAGOS DE MORENO,Lagos de Moreno,14,053,14053,True
JALISCO,MAGDALENA,BANAVIM,ALTA,JALISCO,MAGDALENA,False,MAGDALENA,Magdalena,14,055,14055,True
JALISCO,OCOTLAN,BANAVIM,ALTA,JALISCO,OCOTLAN,False,OCOTLAN,Ocotlán,14,063,14063,True
JALISCO,OJUELOS DE JALISCO,BANAVIM,ALTA,JALISCO,OJUELOS DE JALISCO,False,OJUELOS DE JALISCO,Ojuelos de Jalisco,14,064,14064,True
JALISCO,PONCITLAN,BANAVIM,ALTA,JALISCO,PONCITLAN,False,PONCITLAN,Poncitlán,14,066,14066,True
JALISCO,PUERTO VALLARTA,BANAVIM,ALTA,JALISCO,PUERTO VALLARTA,False,PUERTO VALLARTA,Puerto Vallarta,14,067,14067,True
JALISCO,SAN JUAN DE LOS LAGOS,BANAVIM,ALTA,JALISCO,SAN JUAN DE LOS LAGOS,False,SAN JUAN DE LOS LAGOS,San Juan de los Lagos,14,073,14073,True
JALISCO,SAN MARCOS,BANAVIM,ALTA,JALISCO,SAN MARCOS,False,SAN MARCOS,San Marcos,14,075,14075,True
JALISCO,SAN PEDRO TLAQUEPAQUE,BANAVIM,ALTA,JALISCO,SAN PEDRO TLAQUEPAQUE,False,SAN PEDRO TLAQUEPAQUE,San Pedro Tlaquepaque,14,098,14098,True
JALISCO,TAMAZULA DE GORDIANO,BANAVIM,ALTA,JALISCO,TAMAZULA DE GORDIANO,False,TAMAZULA DE GORDIANO,Tamazula de Gordiano,14,085,14085,True
JALISCO,TEOCALTICHE,BANAVIM,ALTA,JALISCO,TEOCALTICHE,False,TEOCALTICHE,Teocaltiche,14,091,14091,True
JALISCO,TEPATITLAN DE MORELOS,BANAVIM,ALTA,JALISCO,TEPATITLAN DE MORELOS,False,TEPATITLAN DE MORELOS,Tepatitlán de Morelos,14,093,14093,True
JALISCO,TEQUILA,BANAVIM,ALTA,JALISCO,TEQUILA,False,TEQUILA,Tequila,14,094,14094,True
JALISCO,TLAJOMULCO DE ZUNIGA,BANAVIM,ALTA,JALISCO,TLAJOMULCO DE ZUNIGA,False,TLAJOMULCO DE ZUNIGA,Tlajomulco de Zúñiga,14,097,14097,True
JALISCO,TONALA,BANAVIM,ALTA,JALISCO,TONALA,False,TONALA,Tonalá,14,101,14101,True
JALISCO,TOTOTLAN,BANAVIM,ALTA,JALISCO,TOTOTLAN,False,TOTOTLAN,Tototlán,14,105,14105,True
JALISCO,TUXCUECA,BANAVIM,ALTA,JALISCO,TUXCUECA,False,TUXCUECA,Tuxcueca,14,107,14107,True
JALISCO,ZACOALCO DE TORRES,BANAVIM,ALTA,JALISCO,ZACOALCO DE TORRES,False,ZACOALCO DE TORRES,Zacoalco de Torres,14,119,14119,True
JALISCO,ZAPOPAN,BANAVIM,ALTA,JALISCO,ZAPOPAN,False,ZAPOPAN,Zapopan,14,120,14120,True
JALISCO,ZAPOTITLAN DE VADILLO,BANAVIM,ALTA,JALISCO,ZAPOTITLAN DE VADILLO,False,ZAPOTITLAN DE VADILLO,Zapotitlán de Vadillo,14,122,14122,True
