escenario,tipo,estado_municipio
ALTA,solo_banavim,PUEBLA - SAN MARTIN TEXMELUCAN
ALTA,solo_banavim,PUEBLA - SAN PEDRO CHOLULA
ALTA,solo_banavim,PUEBLA - SAN SALVADOR EL VERDE
ALTA,solo_banavim,PUEBLA - SANTA ISABEL CHOLULA
ALTA,solo_banavim,PUEBLA - TEHUACAN
ALTA,solo_banavim,PUEBLA - TEPATLAXCO DE HIDALGO
ALTA,solo_banavim,PUEBLA - TLACHICHUCA
ALTA,solo_banavim,PUEBLA - ZACAPOAXTLA
ALTA,solo_banavim,PUEBLA - ZACATLAN
ALTA,solo_banavim,PUEBLA - ZARAGOZA
ALTA,solo_banavim,PUEBLA - ZOQUITLAN
ALTA,solo_banavim,QUERETARO - EL MARQUES
ALTA,solo_banavim,QUERETARO - QUERETARO
ALTA,solo_banavim,QUINTANA ROO - BACALAR
ALTA,solo_banavim,QUINTANA ROO - BENITO JUAREZ
ALTA,solo_banavim,QUINTANA ROO - COZUMEL
ALTA,solo_banavim,QUINTANA ROO - FELIPE CARRILLO PUERTO
ALTA,solo_banavim,QUINTANA ROO - ISLA MUJERES
ALTA,solo_banavim,QUINTANA ROO - JOSE MARIA MORELOS
ALTA,solo_banavim,QUINTANA ROO - LAZARO CARDENAS
ALTA,solo_banavim,QUINTANA ROO - OTHON P BLANCO
ALTA,solo_banavim,QUINTANA ROO - PUERTO MORELOS
ALTA,solo_banavim,QUINTANA ROO - SOLIDARIDAD
ALTA,solo_banavim,QUINTANA ROO - TULUM
ALTA,solo_banavim,SAN LUIS POTOSI - AXTLA DE TERRAZAS
ALTA,solo_banavim,SAN LUIS POTOSI - CARDENAS
ALTA,solo_banavim,SAN LUIS POTOSI - CEDRAL
ALTA,solo_banavim,SAN LUIS POTOSI - CERRITOS
ALTA,solo_banavim,SAN LUIS POTOSI - CIUDAD FERNANDEZ
ALTA,solo_banavim,SAN LUIS POTOSI - CIUDAD VALLES
ALTA,solo_banavim,SAN LUIS POTOSI - GUADALCAZAR
ALTA,solo_banavim,SAN LUIS POTOSI - MATEHUALA
ALTA,solo_banavim,SAN LUIS POTOSI - RIOVERDE
ALTA,solo_banavim,SAN LUIS POTOSI - SAN CIRO DE ACOSTA
ALTA,solo_banavim,SAN LUIS POTOSI - SAN LUIS POTOSI
ALTA,solo_banavim,SAN LUIS POTOSI - SANTA CATARINA
ALTA,solo_banavim,SAN LUIS POTOSI - SOLEDAD DE GRACIANO SANCHEZ
ALTA,solo_banavim,SAN LUIS POTOSI - TAMASOPO
ALTA,solo_banavim,SAN LUIS POTOSI - TAMAZUNCHALE
ALTA,solo_banavim,SAN LUIS POTOSI - TAMPAMOLON CORONA
ALTA,solo_banavim,SAN LUIS POTOSI - TAMUIN
ALTA,solo_banavim,SINALOA - AHOME
